Date,Site,Code,Latitude,Longitude,distance,Area
20210701,82.5k,825k,25.12184,121.90139,68.75152971,C
20210716,Bat cave,BC,25.1277,121.83139,73.40928309,C
20210610,Bitou,BT,25.12585,121.91388,36.76636612,C
20210618,Chaojing,CJ,25.14431,121.80503,61.84712746,C
20210713,Guian harbor,GA,25.02316,121.96227,124.0545477,C
20210727,Hepingdao,HPD,25.16083,121.77154,29.19223115,C
20210816,Huapingyu,HPY,25.42456,121.94495,32474.88842,I
20210727,Keelungyu,KLY,25.18954,121.78421,1773.498633,C
20210628,Longdong,LD,25.11339,121.91932,64.12182036,C
20210730,Maoao,MA,25.01781,121.99045,118.6277421,C
20210730,Magang,MG,25.02032,121.99892,82.27950283,C
20210816,Mienhuayu,MHY,25.48455,122.10243,43258.82609,I
20210709,Meiyenshan,MYS,25.07013,121.92502,79.4088324,C
20210816,Pengjiayu,PJY,25.62307,122.0725,56699.63114,I
20210618,Shenao,SA,25.13507,121.8199,63.3951762,C
20210923,Turtle island N,TIN,24.84581,121.94379,136.2343488,I
20210923,Turtle island S,TIS,24.84216,121.93751,433.6222251,I
20210811,Waimushan,WMS,25.1656,121.72237,54.08622638,C
20210708,Xiehe,XH,25.15898,121.74053,54.19122364,C
20210812,Xiaoxianglan,XXL,25.02667,121.97327,149.3331426,C
20210727,Yeliu,YL,25.20877,121.69543,61.83812744,C
