,825k,BC,BT,CJ,GA,HPD,HPY,KLY,LD,MA,MG,MHY,MYS,PJY,SA,TIN,TIS,WMS,XH,XXL,YL
825k,0,7.52867205,1.516392426,11.04670176,15.72371922,15.40693494,34.91160745,15.76514863,4.773717759,17.22978033,17.21845643,46.29740318,9.402604955,60.79030924,9.141667409,38.66550839,39.47067153,20.65559183,18.97331577,15.69600117,25.8715903
BC,7.52867205,0,8.554781349,3.616086336,22.36988165,7.976319518,36.32319049,8.334533208,11.41988018,23.87594275,23.86461885,48.50602094,16.04876738,62.20189228,1.711051985,45.31167081,46.11683395,13.22497641,11.54270035,22.34216359,18.44097487
BT,1.516392426,8.554781349,0,12.07281106,14.2073268,16.43304424,34.06300087,16.79125793,3.257325332,15.7133879,15.702064,45.4487966,7.886212528,59.94170266,10.16777671,37.14911596,37.9542791,21.68170113,19.99942507,14.17960874,26.89769959
CJ,11.04670176,3.616086336,12.07281106,0,25.88791136,5.001897033,35.37162537,5.920189175,14.93790989,27.39397246,27.38264856,50.16097477,19.56679709,61.25032715,2.052119289,48.82970052,49.63486366,10.25055392,8.568277864,25.8601933,15.46655239
GA,15.72371922,22.36988165,14.2073268,25.88791136,0,30.24814454,44.86959684,30.60635823,11.64728287,3.566632253,4.180011241,55.403575,6.555458339,69.89648106,23.982877,25.73477059,26.53993374,35.49680143,33.81452537,1.312333521,40.71279989
HPD,15.40693494,7.976319518,16.43304424,5.001897033,30.24814454,0,34.47487977,3.584818341,19.29814307,31.75420564,31.74288174,52.56007544,23.92703027,60.35358155,6.412352472,53.1899337,53.99509684,5.24865689,3.566380831,30.22042648,10.46465535
HPY,34.91160745,36.32319049,34.06300087,35.37162537,44.86959684,34.47487977,0,31.04085178,35.32036205,46.37565795,46.36433405,19.35614293,39.94924925,25.87870179,35.89043636,67.81138601,68.61654915,37.81522133,36.37808684,44.84187879,37.93227527
KLY,15.76514863,8.334533208,16.79125793,5.920189175,30.60635823,3.584818341,31.04085178,0,19.65635676,32.11241933,32.10109543,49.53533555,24.28524396,56.91955356,7.158312782,53.54814739,54.35331053,7.636028714,6.198894219,30.57864017,10.20449829
LD,4.773717759,11.41988018,3.257325332,14.93790989,11.64728287,19.29814307,35.32036205,19.65635676,0,13.15334397,13.55130817,46.70615778,5.307239318,61.19906384,13.03287554,35.10606752,35.91123067,24.54679996,22.8645239,11.61956481,29.76279842
MA,17.22978033,23.87594275,15.7133879,27.39397246,3.566632253,31.75420564,46.37565795,32.11241933,13.15334397,0,1.015256259,55.18707168,9.763296279,69.67997774,25.48893811,22.47195899,23.27712213,37.00286253,35.32058647,2.352355358,42.218861
MG,17.21845643,23.86461885,15.702064,27.38264856,4.180011241,31.74288174,46.36433405,32.10109543,13.55130817,1.015256259,0,54.64572796,10.37667527,69.13863402,25.47761421,21.55475935,22.3599225,36.99153863,35.30926257,2.965734346,42.20753709
MHY,46.29740318,48.50602094,45.4487966,50.16097477,55.403575,52.56007544,19.35614293,49.53533555,46.70615778,55.18707168,54.64572796,0,51.33504497,16.27225832,49.23650667,75.63847721,76.44364036,57.17136426,55.73422977,54.69440289,57.2884182
MYS,9.402604955,16.04876738,7.886212528,19.56679709,6.555458339,23.92703027,39.94924925,24.28524396,5.307239318,9.763296279,10.37667527,51.33504497,0,65.82795103,17.66176273,31.93143462,32.73659776,29.17568716,27.4934111,7.410940921,34.39168562
PJY,60.79030924,62.20189228,59.94170266,61.25032715,69.89648106,60.35358155,25.87870179,56.91955356,61.19906384,69.67997774,69.13863402,16.27225832,65.82795103,0,61.76913815,90.13138327,90.93654642,62.44451734,61.43821243,69.18730895,62.56157128
SA,9.141667409,1.711051985,10.16777671,2.052119289,23.982877,6.412352472,35.89043636,7.158312782,13.03287554,25.48893811,25.47761421,49.23650667,17.66176273,61.76913815,0,46.92466617,47.72982931,11.66100936,9.978733303,23.95515895,16.87700782
TIN,38.66550839,45.31167081,37.14911596,48.82970052,25.73477059,53.1899337,67.81138601,53.54814739,35.10606752,22.47195899,21.55475935,75.63847721,31.93143462,90.13138327,46.92466617,0,1.500435824,58.43859059,56.75631453,24.5204937,63.65458905
TIS,39.47067153,46.11683395,37.9542791,49.63486366,26.53993374,53.99509684,68.61654915,54.35331053,35.91123067,23.27712213,22.3599225,76.44364036,32.73659776,90.93654642,47.72982931,1.500435824,0,59.24375373,57.56147768,25.32565684,64.4597522
WMS,20.65559183,13.22497641,21.68170113,10.25055392,35.49680143,5.24865689,37.81522133,7.636028714,24.54679996,37.00286253,36.99153863,57.17136426,29.17568716,62.44451734,11.66100936,58.43859059,59.24375373,0,2.221587499,35.46908337,5.603745083
XH,18.97331577,11.54270035,19.99942507,8.568277864,33.81452537,3.566380831,36.37808684,6.198894219,22.8645239,35.32058647,35.30926257,55.73422977,27.4934111,61.43821243,9.978733303,56.75631453,57.56147768,2.221587499,0,33.78680732,7.437585962
XXL,15.69600117,22.34216359,14.17960874,25.8601933,1.312333521,30.22042648,44.84187879,30.57864017,11.61956481,2.352355358,2.965734346,54.69440289,7.410940921,69.18730895,23.95515895,24.5204937,25.32565684,35.46908337,33.78680732,0,40.68508184
YL,25.8715903,18.44097487,26.89769959,15.46655239,40.71279989,10.46465535,37.93227527,10.20449829,29.76279842,42.218861,42.20753709,57.2884182,34.39168562,62.56157128,16.87700782,63.65458905,64.4597522,5.603745083,7.437585962,40.68508184,0
